,prompt,summary
2088,"Marian also prepared 59 croissants which she plans to give to her 8 neighbors. If each neighbor received and equal number of croissants, how many will be left with Marian?","var1 = find(croissants), var2 = find(neighbors), var3 = divide(var1, var2), CALL, var4 = find(remainder), return(var4)"
94,Kelly has 22 nintendo games.How many does she need to buy so that she will have 140 games left?,"var1 = find(needed games), var2 = subtract(var1, 22), CALL, return(var2)"
287,Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game.How many games did she play?,"var1 = find(total points), var2 = find(points per game), var3 = divide(var1, var2), CALL, return(var3)"
914,"For Halloween Will got fifteen pounds of candy. After giving some to Haley, he had nine pounds left. How many pounds did he give to Haley? ","var1 = find(total candy), var2 = find(left candy), var3 = subtract(var1, var2), CALL, return(var3)"
1543,Maria and her sister want to buy a present for their mother. Maria has $17. Her sister has double that amount. They want to buy their mom a coat that costs $80. How much more money do they need?,"var1 = find(Maria's money), var2 = multiply(var1, 2), var3 = find(coat cost), var4 = add(var1, var2), var5 = subtract(var3, var4), return(var5)"
1776,"An event has 12 adults and 20 children. The event planner wants to make each table identical, with the same combination of adults and children and no people left over. What is the greatest number of tables the planner can set up?","var1 = find(adults), var2 = find(children), var3 = gcd(var1, var2), return(var3)"
1466,"A group of 8 friends were dressing as pirates for Halloween. If each costume cost 5 dollars, how much did they spend?","var1 = find(friends), var2 = find(cost per costume), var3 = multiply(var1, var2), CALL, return(var3)"
1741,105 people are going to a movie. 6 people can ride in each car. How many cars are needed to get all 105 people to the movie?,"var1 = find(number of people), var2 = find(people per car), var3 = divide(var1, var2), CALL, return(var3)"
1445,Fabric is sold in stores from bolts that are 45 or 60 inches wide. What is the width of the widest strips of fabric you can cut from either bolt without wasting any of the fabric if each strip has the same width?,"var1 = find(bolt 1), var2 = find(bolt 2), var3 = find(GCF of var1 and var2), CALL, return(var3)"
368,Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people.How many people can ride 20 Ferris wheels at the same time?,"var1 = find(seats per Ferris wheel), var2 = find(people per seat), var3 = multiply(var1, var2), var4 = find(Ferris wheels), var5 = multiply(var3, var4), CALL, return(var5)"
285,Mary is baking a cake. The recipe calls for 5 cups of sugar and 14 cups of flour. She already put in 11 cups of flour.How many more cups of sugar than cups of flour does she need to add now?,"var1 = find(flour for recipe), var2 = find(flour already added), var3 = subtract(var1, var2), var4 = find(sugar for recipe), var5 = subtract(var4, var3), CALL, return(var5)"
2211,"Ben on the other hand, was asked to count the number of cows that they have. He saw that there are a total of 40 cows for every cow herd. How many cows do they have in total if there are 8 cow herds in the farm?","var1 = find(number of cow herds), var2 = find(number of cows per herd), var1 = multiply(var1, var2), CALL, return(var1)"
962,Billy had seventy-four cherries. He ate seventy-two of them. How many cherries does Billy have left? ,"var1 = find(total cherries), var2 = find(eaten cherries), var3 = subtract(var1, var2), CALL, return(var3)"
386,A waiter had 3 customers. After some more arrived he had 8 customers.How many new customers arrived?,"var1 = find(initial customers), var2 = find(final customers), var3 = subtract(var2, var1), CALL, return(var3)"
832,Janet's dad took the family out to eat for her birthday. There were 10 people total. There were 8 kids and everyone else was an adult. How many adults were there?,"var1 = find(total), var2 = find(kids), var3 = subtract(var1, var2), CALL, return(var3)"
2134,"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?","var1 = find(nails), var2 = find(nails left at every station), var1 = divide(var1, var2), CALL, return(var1)"
1468,For the school bake sale Amy made pastries. She baked 15 cupcakes and 48 cookies. After the sale she had 12 to take back home. How many pastries did she sell? ,"var1 = find(cupcakes), var2 = find(cookies), var3 = add(var1, var2), CALL, var4 = subtract(var3, 12), CALL, return(var4)"
549,Baker made 173 cakes. He bought 103 new cakes and sold 86 cakes.How many cakes does baker still have?,"var1 = find(original cakes), var2 = find(new cakes), var3 = add(var1, var2), var4 = find(sold cakes), var5 = subtract(var3, var4), CALL, return(var5)"
1106,"For homework Megan had thirty-six math problems and twenty-eight spelling problems. If she can finish eight problems in an hour, how long will it take her to finish all the problems?","var1 = find(math problems), var2 = find(spelling problems), var1 = add(var1, var2), CALL, var2 = find(problems per hour), var3 = divide(var1, var2), CALL, return(var3)"
1562,Lizette has 813 stamps. She has 125 more stamps than Minerva. How many stamps does Minerva have?,"var1 = find(Lizette stamps), var2 = find(stamps more than Minerva), var3 = subtract(var1, var2), CALL, return(var3)"
522,Josh had 19 marbles in his collection. He lost 11 marbles and found 5 new ones.How many marbles does he have now?,"var1 = find(initial marbles), var2 = find(lost marbles), var3 = subtract(var1, var2), var4 = find(gained marbles), var5 = add(var3, var4), CALL, return(var5)"
1956,The Smart Mart sells educational toys. They sold 45 science kits last week. The sold 9 fewer puzzles than science kits. How many puzzles did the Smart Mart sell?,"var1 = find(science kits), var2 = subtract(var1, 9), CALL, return(var2)"
394,Jake has 6 fewer peaches and 8 more apples than Steven. Steven has 17 peaches and 16 apples.How many more peaches than apples does Steven have?,"var1 = find(peaches Steven has), var2 = find(apples Steven has), var3 = subtract(var1, var2), CALL, return(var3)"
565,If the cave is 919 feet deep and they need to travel 1307 feetHow far is the end of the cave?,"var1 = find(depth of the cave), var2 = find(need to travel), var3 = add(var1, var2), CALL, return(var3)"
2073,Erin and Dana finished a two day bike-a-thon. They rode 37 miles the first day The rode 55 miles the second day. How many miles did they ride altogether?,"var1 = find(miles first day), var2 = find(miles second day), var3 = add(var1, var2), CALL, return(var3)"
2300,The ski resort reported 65 inches of snow in January. They measured 18 inches of snow during the first week. They measured 25 inches of snow the second week. How much snow did they get the rest of the month?,"var1 = find(snow in January), var2 = add(18, 25), CALL, var3 = subtract(var1, var2), CALL, return(var3)"
1918,"It is harvest season in the country. Lewis, whose family owns a fruit farm, is busy overseeing their farmers while they are harvesting the fruits. His day starts by going to the apple orchard. The farmers reported that they harvest 45 sacks of apples from each of the 8 sections of the orchard daily. How many apples are harvested every day?","var1 = find(sacks per section), var2 = find(number of sections), var1 = multiply(var1, var2), CALL, return(var1)"
1138,"Ezra is buying nuts and bolts at a local hardware store. The store sells nuts in packs of 13 and bolts in packs of 8. If Ezra wishes to buy the same number of nuts and bolts, what is the smallest number of nuts that he can buy?","var1 = find(nuts in packs of 13), var2 = find(bolts in packs of 8), var3 = lcm(var1,var2), CALL, return(var3)"
1736,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold stars did Shelby earn in all?","var1 = find(yesterday's stars), var2 = find(today's stars), var3 = add(var1, var2), CALL, return(var3)"
1979,The book store is very busy today. There are 25 children listening to a story. 36 people are shopping for books. 17 people are at the checkout counter. How many people are at the bookstore?,"var1 = find(children), var2 = find(shoppers), var3 = add(var1, var2), var4 = find(checkout people), var5 = add(var3, var4), return(var5)"
2333,4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?,"var1 = find(birds on the branch), var2 = find(birds flying away), var1 = subtract(var1, var2), CALL, return(var1)"
2067,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?","var1 = find(pages per booklet), var2 = find(number of booklets), var1 = multiply(var1, var2), CALL, return(var1)"
983,A store has forty-nine shirts. After selling some there were twenty-eight left. What's the difference between of the number of shirts before selling and after selling?,"var1 = find(Shirts before selling), var2 = find(Shirts left after selling), var1 = subtract(var1, var2), CALL, return(var1)"
2410,Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?,"var1 = find(dogs), var2 = find(chickens), var3 = multiply(var1, 4), var4 = multiply(var2, 2), var5 = add(var3, var4), CALL, return(var5)"
1884,"She also estimated the number of candies that she will receive from each block. If she will receive around 7 pieces of candies from every house, and there are 5 houses in a block, how many candies will she receive from each block?","var1 = find(candies from each house), var2 = find(houses per block), var1 = multiply(var1, var2), CALL, return(var1)"
1292,Maria was buying DVDs of her old favorite TV series. She bought eight DVDs at the store and she bought two online. How many DVDs did she buy total?,"var1 = find(store DVDs), var2 = find(online DVDs), var3 = add(var1, var2), CALL, return(var3)"
2187,Sean is playing Monopoly with his friends. He already has 27 houses. Sean traded in 8 houses for money to buy Park Place. He collected so much rent that he decided to buy 12 more houses. How many houses did Sean have then?,"var1 = find(houses), var2 = subtract(var1, 8), var3 = add(var2, 12), return(var3)"
1797,"Jack loves to collect and read books. In fact, he has a mini-library in their house and he usually spends most of his time in it. The library is divided into different sections for different type of books. The science fiction section has 8 books. If each book has 478 pages, how many pages do all the 8 books have in total?","var1 = find(pages per book), var2 = find(number of books), var1 = multiply(var1, var2), CALL, return(var1)"
1823,Sean has 223 whistles. He has 95 more whistles that Charles. How many whistles does Charles have?,"var1 = find(Sean whistles), var2 = find(whistles more than Charles), var3 = subtract(var1, var2), CALL, return(var3)"
1156,Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? ,"var1 = find(first round points), var2 = find(second round points), var3 = add(var1, var2), CALL, var4 = subtract(var3, 48), CALL, return(var4)"
595,Dan has $ 2. He bought a candy bar for $ 6 and a chocolate for $ 3.How much money did he spend to buy candy bar than he did to buy chocolate?,"var1 = find(candy bar cost), var2 = find(chocolate cost), var3 = subtract(var1, var2), CALL, return(var3)"
1358,"Tiffany was playing a video game and had 43 lives. In a hard part of the game she lost 14 lives. If she got 27 more lives in the next level, how many lives would she have?","var1 = find(Tiffany lives), var2 = find(lives lost), var1 = subtract(var1, var2), CALL, var2 = find(lives gained), var1 = add(var1, var2), CALL, return(var1)"
244,"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework.How many pages of reading and biology homework did she have to complete?","var1 = find(math homework), var2 = find(reading homework), var3 = find(additional biology homework), var4 = add(var2, var3), CALL, return(var4)"
684,6 storks and 2 birds were sitting on the fence. 3 more birds came to join them.How many more storks than birds are sitting on the fence?,"var1 = find(Storks on the fence), var2 = find(Birds on the fence), var3 = find(New birds), var2 = add(var2, var3), CALL, var1 = sub(var1, var2), CALL, return(var1)"
84,"A chef had 58 apples. After making some pies, he had used 35.How many apples remained?","var1 = find(total apples), var2 = subtract(var1, 35), CALL, return(var2)"
1693,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?","var1 = find(children in bus), var2 = find(children in bus after more got on), var3 = subtract(var2, var1), CALL, return(var3)"
360,After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initiallyHow much did she spend?,"var1 = find(initial wallet), var2 = find(wallet after visit), var3 = subtract(var1, var2), CALL, return(var3)"
541,There are 270 students in a school. If the school has 5 students in each grades and each grade has the same number of studentsHow many grades are there in total?,"var1 = find(students in school), var2 = find(students in a grade), var3 = divide(var1, var2), CALL, return(var3)"
686,Dave had 10 apps on his phone. He added 11 new apps. After deleting some he had 4 left.How many apps did he delete?,"var1 = find(Apps), var2 = find(New apps added), var3 = add(var1, var2), CALL, var4 = find(Apps left), var5 = sub(var3, var4), CALL, return(var5)"
349,Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178How many weeks did the harvest last?,"var1 = find(total earnings), var2 = find(earnings per week), var3 = divide(var1, var2), CALL, return(var3)"
2166,Ben had 18 marbles and John had 17 marbles. Ben gave half of his marbles to John. How many more marbles did John have than Ben then?,"var1 = find(Ben marbles), var2 = divide(var1, 2), CALL, var1 = subtract(var1, var2), CALL, var3 = find(John marbles), var3 = add(var3, var2), CALL, var4 = subtract(var3, var1), CALL, return(var4)"
1004,There were sixty-one people in line at lunch when twenty-two more got in line. How many people were there total in line?,"var1 = find(starting line people), var2 = find(new people in line), var1 = add(var1, var2), CALL, return(var1)"
762,"A video uploaded had 18 'up votes'. If the ratio of 'up votes' to 'down votes' was 9:2, how many 'down votes' did the video get?","var1 = find(up votes), var2 = divide(var1, 9), var3 = multiply(var2, 2), CALL, return(var3)"
1874,"For dessert, Jane's mom prepared 12 pieces of bite-size cinnamon swirls. If the three of them ate an equal number of pieces of cinnamon swirls, how many pieces did Jane eat?","var1 = find(cinnamon swirls), var2 = find(persons), var1 = divide(var1, var2), CALL, return(var1)"
1357,"Tiffany was buying sodas for her and her friends. They needed nine sodas, but Tiffany bought seven extra. How many did she buy?","var1 = find(needed sodas), var2 = find(extra sodas), var3 = add(var1, var2), CALL, return(var3)"
1134,"Mike had fifty-one books, but he sold forty-five at a garage sale. How many books does Mike still have? ","var1 = find(total books), var2 = find(sold books), var3 = subtract(var1, var2), CALL, return(var3)"
992,At the arcade Billy had won forty-eight tickets. After buying a yoyo he had thirty-two tickets left. What's the difference between the number of Billy's tickets he won and he had the left after buying yoyo?,"var1 = find(Billy's won tickets), var2 = find(Billy's tickets left), var1 = subtract(var1, var2), CALL, return(var1)"
2051,Sarah picked 45 apples. Her brother picked 9 apples. How many times as many apples did Sarah pick?,"var1 = find(Sarah apples), var2 = find(brother apples), var3 = divide(var1, var2), CALL, return(var3)"
2132,Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?,"var1 = find(Misha's money), var2 = find(money needed for dog), var1 = subtract(var2, var1), CALL, return(var1)"
49,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.How many eggs will each group have?,"var1 = find(eggs), var2 = find(groups), var3 = divide(var1, var2), CALL, return(var3)"
2125,There were 8 ducks swimming in the pond. 3 ducks flew away. How many ducks are still swimming in the pond?,"var1 = find(total ducks in pond), var2 = find(ducks flew away), var3 = subtract(var1, var2), CALL, return(var3)"
1674,Mrs. Hilt met 15 friends. Nine of the friends were carrying pears. The rest were carrying oranges. How many friends were carrying oranges?,"var1 = find(total friends), var2 = find(friends carrying pears), var3 = subtract(var1, var2), CALL, return(var3)"
702,Katie had 84 new games and 19 old games. Her friends had 8 new games and 69 old games.How many new games do they have together?,"var1 = find(Katie new games), var2 = find(Friends new games), var3 = add(var1, var2), return(var3)"
370,Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left.How many books did he sell in the garage sale?,"var1 = find(initial books), var2 = find(books left), var3 = subtract(var1, var2), CALL, return(var3)"
1303,"A museum had fourteen paintings. After they got rid of some, they had four left. What's the difference between the number of paintings before they got rid of and the left?","var1 = find(Paintings before getting rid), var2 = find(Paintings left), var1 = subtract(var1, var2), CALL, return(var1)"
1701,"Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?","var1 = find(extra planks), var2 = find(Charlie planks), var1 = add(var1, var2), CALL, var2 = find(father planks), var1 = add(var1, var2), CALL, return(var1)"
956,"At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ","var1 = find(adventure books), var2 = find(mystery books), var3 = add(var1, var2), CALL, var4 = subtract(var3, 15), CALL, return(var4)"
2030,"When he arrived there, he went on to climb to the top of the falls. It usually takes 30 minutes for someone to get to the top. Stanley took time to see the view so his climb took 7 times longer than the usual. How many minutes did it take Stanley to get to the top?","var1 = find(usual time to get to the top), var2 = find(factor for Stanley's climb), var1 = multiply(var1, var2), CALL, return(var1)"
1373,Edward was playing basketball with his friend. Together they scored 13 points. If Edward scored 7 of the points. How many points did his friend score?,"var1 = find(total points), var2 = find(Edward's points), var3 = subtract(var1, var2), CALL, return(var3)"
949,A tape was thirteen meters long. Haley used some to seal cartons. Now the tape is six meters long. How much tape did she use?,"var1 = find(original length), var2 = find(current length), var3 = subtract(var1, var2), CALL, return(var3)"
1135,"Lana's mom was buying extra school supplies for her and her siblings. If she bought three packs of glue sticks with seven glue sticks in each pack, how many did she get total?","var1 = find(glue stick packs), var2 = find(glue sticks per pack), var3 = multiply(var1, var2), CALL, return(var3)"
426,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row.How many pencils does she have?,"var1 = find(number of rows), var2 = find(pencils per row), var3 = multiply(var1, var2), CALL, return(var3)"
1467,Roger was packing up his old toys. He filled eleven boxes with action figures and two boxes with old games. How many boxes did he pack total?,"var1 = find(action figures boxes), var2 = find(old games boxes), var1 = add(var1, var2), CALL, return(var1)"
1421,"A mailman has to give twenty-eight pieces of junk mail to each block. If there are four houses on a block, how many pieces of junk mail should he give each house?","var1 = find(junk mail per block), var2 = divide(var1, 4), CALL, return(var2)"
1588,Zach scored 42 points in the football game. Ben scored 21 points. How many more points did Zach score?,"var1 = find(Zach's score), var2 = find(Ben's score), var3 = subtract(var1, var2), CALL, return(var3)"
152,Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar.How many more cups of sugar does she need to add?,"var1 = find(flour cups), var2 = subtract(var1, 10), CALL, var3 = find(sugar cups), var4 = subtract(var3, 2), CALL, return(var4)"
339,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars.How much money did Jason earn by delivering newspapers?,"var1 = find(Fred initial dollars), var2 = find(Fred final dollars), var3 = subtract(var2, var1), var4 = find(Jason initial dollars), var5 = find(Jason final dollars), var6 = subtract(var5, var4), CALL, return(var6)"
1841,"Rob has seven quarters, three dimes, five nickels, and twelve pennies. How much money does Rob have?","var1 = find(Rob quarters), var2 = find(Rob dimes), var1 = add(var1, var2), CALL, var2 = find(Rob nickels), var1 = add(var1, var2), CALL, var2 = find(Rob pennies), var1 = add(var1, var2), CALL, return(var1)"
1299,Two bicycle enthusiasts are leaving Cincinnati at the same time. One is biking 840 miles to Boston. The other is biking 440 miles to Atlanta. What is the greatest number of miles a day each can bike if they want to cover equal distances each day?,"var1 = find(biker 1), var2 = find(biker 2), var3 = find(GCF of var1 and var2), CALL, return(var3)"
1591,"Sofia, president of the school student organization, held a meeting to talk about the food being served at the school cafeteria. The first order of business is to discuss whether the students like the food being served at the school. If 383 students said that they like the food and 431 students said they didn't, how many students participated in the discussion?","var1 = find(students who liked the food), var2 = find(students who didn't like the food), var1 = add(var1, var2), CALL, return(var1)"
757,"An architect was building a hotel downtown. He bought 147 lamps to put in the rooms. If each room gets 7 lamps, how many rooms does the hotel have?","var1 = find(lamps), var2 = find(lamps per room), var3 = divide(var1, var2), CALL, return(var3)"
737,"Kiara baked 30 oatmeal cookies and 48 chocolate chip cookies to package in plastic containers for her teacher friends at school. She wants to divide the cookies into identical containers so that each container has the same number of each kind of cookie. If she wants each container to have the greatest number of cookies possible, how many plastic containers does she need?","var1 = find(""oatmeal cookies""), var2 = find(""chocolate chip cookies""), var3 = find_gcd(var1, var2), return(var3)"
801,"At Billy's Restaurant a group with two adults and five children came in to eat. If each meal cost three dollars, how much was the bill?","var1 = find(adults), var2 = find(children), var1 = add(var1, var2), CALL, var2 = find(cost per meal), var3 = multiply(var1, var2), CALL, return(var3)"
2349,"A chef served 3 different foods for a banquet: 25 plates lobster rolls, 14 plates of spicy hot noodles and 16 plates of seafood noodles. How many plates of food did the chef make altogether?","var1 = find(lobster rolls), var2 = find(spicy hot noodles), var3 = add(var1, var2), CALL, var2 = find(seafood noodles), var3 = add(var3, var2), CALL, return(var3)"
723,Luke scored 84 points after playing 2 rounds of a trivia game. If he gained the same number of points each roundHow many points did he score per round?,"var1 = find(Total points), var2 = find(Rounds), var3 = div(var1, var2), CALL, return(var3)"
1847,"Gino has 15 brown bears, 24 white bears, and 27 black bears. How many bears does Gino have?","var1 = find(Gino brown bears), var2 = find(Gino white bears), var1 = add(var1, var2), CALL, var2 = find(Gino black bears), var1 = add(var1, var2), CALL, return(var1)"
641,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collectionHow big is each group?,"var1 = find(total bananas), var2 = find(total groups), var3 = divide(var1, var2), CALL, return(var3)"
1220,A vet was weighing 3 cats. The first weighed 2 pounds. The second weighed 7 pounds and the last weighed 4 pounds. What is their combined weight? ,"var1 = find(first cat weight), var2 = find(second cat weight), var3 = find(third cat weight), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
764,There are thirty-three rose bushes and thirty-seven oak trees currently in the park. Park workers will plant more rose bushes today. When the workers are finished there will be ninety-eight rose bushes in the park. How many rose bushes did the workers plant today ?,"var1 = find(original rose bushes), var2 = find(final rose bushes), var1 = subtract(var2, var1), CALL, return(var1)"
54,Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookiesHow many cookies did Paco have left?,"var1 = find(cookies), var2 = subtract(var1, 2), CALL, var3 = add(var2, 37), CALL, return(var3)"
1858,Thirty dogs are barking. Ten more dogs start to bark. How many dogs are barking?,"var1 = find(barking dogs), var2 = find(more barking dogs), var3 = add(var1, var2), CALL, return(var3)"
275,"Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday.How many more kids did she play with on monday than on tuesday?","var1 = find(kids played with on Monday), var2 = find(kids played with on Tuesday), var3 = subtract(var1, var2), CALL, return(var3)"
129,Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bagHow many pieces of candy did he have?,"var1 = find(bags), var2 = multiply(var1, 33), CALL, return(var2)"
401,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long.How many more pages does the first chapter have than the second chapter?,"var1 = find(pages in 1st chapter), var2 = find(pages in 2nd chapter), var3 = subtract(var1, var2), CALL, return(var3)"
533,White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in totalHow many white t - shirts does each package have?,"var1 = find(total t-shirts), var2 = find(total packages), var3 = divide(var1,var2), CALL, return(var3)"
1254,"A video game store was getting rid of old games, selling them 3 for $34.26. If they sold 2 games, how much money would they have made?","var1 = find(game price), var2 = divide(var1, 3), var3 = multiply(var2, 2), CALL, return(var3)"
693,Jack received 4 emails in the morning and some more in the afternoon. If he received a total of 5 emails in the dayHow many emails did Jack receive in the afternoon?,"var1 = find(Morning emails), var2 = find(Total emails), var3 = sub(var2, var1), CALL, return(var3)"
1667,"They decided to hold the party in their backyard. If they have 8 sets of tables and each set has 7 chairs, how many chairs do they have for the guests?","var1 = find(number of sets of tables), var2 = find(chairs per set), var1 = multiply(var1, var2), CALL, return(var1)"
1576,"There is a snail problem in Centerville. People work together to get rid 3,482 snails, but 8,278 of them remain. About how many snails were originally in Centerville?","var1 = find(snails after removal), var2 = find(snails removed), var1 = add(var1, var2), return(var1)"
785,"Kaleb has seventeen shirts. If he got rid of seven of them, how many shirts would Kaleb have? ","var1 = find(total shirts), var2 = find(gotten rid of shirts), var3 = subtract(var1, var2), CALL, return(var3)"
2142,He then went to see the oranges being harvested. He found out that they harvest 83 sacks per day. How many sacks of oranges will they have after 6 days of harvest?,"var1 = find(sacks per day), var2 = find(number of days), var1 = multiply(var1, var2), CALL, return(var1)"
2108,"When she got to school, she saw that the school is composed of 9 buildings, each having 30 classrooms. How many classrooms does the school have?","var1 = find(number of buildings in the school), var2 = find(number of classrooms per building), var1 = multiply(var1, var2), CALL, return(var1)"
1722,The school bought 54 basketballs and distribute them into 7 classes equally. How many basketballs are left?,"var1 = find(basketballs), var2 = find(classes), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
861,"A classroom had 35 glue sticks. If the ratio of glue sticks to glue bottles was 5:2, how many glue bottles did the classroom have?","var1 = find(number of glue sticks), var2 = divide(var1, 5), var3 = multiply(var2, 2), CALL, return(var3)"
664,Randy uses 36 blocks to build a tower. If he had 59 blocksHow many blocks are left?,"var1 = find(total blocks), var2 = find(blocks used), var3 = subtract(var1, var2), CALL, return(var3)"
86,Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils.How many pencils does she have?,"var1 = find(pencils in a pack), var2 = multiply(var1, 6), CALL, return(var2)"
1235,Gwen's hair was twenty-eight centimeters long. After a haircut it was seventeen centimeters long. How much did she cut off? ,"var1 = find(original length), var2 = find(new length), var3 = subtract(var1, var2), CALL, return(var3)"
1798,If you add 45 to a mystery number you will get 92. What is the mystery number?,"var1 = find(result), var2 = find(added number), var3 = subtract(var1, var2), CALL, return(var3)"
722,Friends of Katie had 57 games and she had 63 ds games.How many more games does Katie have than her friends?,"var1 = find(Katie games), var2 = find(Friends games), var3 = sub(var1, var2), CALL, return(var3)"
1024,A restaurant added a new outdoor section that was 4 feet wide and 6 feet long. What is the area of their new outdoor section?,"var1 = find(width), var2 = find(length), var3 = multiply(var1, var2), CALL, return(var3)"
885,"Rachel bought seven new chairs and three new tables for her house. If she spent four minutes on each piece furniture putting it together, how many minutes did it take her to finish?","var1 = find(chairs), var2 = find(tables), var3 = add(var1, var2), CALL, var4 = find(minutes per piece), var5 = multiply(var3, var4), CALL, return(var5)"
281,Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon.How many more letters did Jack receive in the morning than in the afternoon?,"var1 = find(letters received in the morning), var2 = find(letters received in the afternoon), var3 = subtract(var1, var2), CALL, return(var3)"
1653,"Mrs. Hilt traveled 6, 760 miles to Japan. She read one book every 450 miles she traveled. How many books had she finished when she got to Japan?","var1 = find(miles traveled), var2 = find(miles per book), var3 = divide(var1, var2), CALL, return(var3)"
1442,There are 15 shapes. How many groups of 3 can you make with them?,"var1 = find(number of shapes), var2 = divide(var1, 3), CALL, return(var2)"
926,"A pet shelter had twenty-three puppies when another two were brought in. If five puppies a day are adopted, how long would it take for all of them to be adopted?","var1 = find(puppies at shelter), var2 = find(newly brought puppies), var1 = add(var1, var2), CALL, var2 = find(puppies adopted daily), var3 = divide(var1, var2), CALL, return(var3)"
1463,Cody had a bag of marbles. Later he gave five to his brother. Now Cody has seven marbles. How many marbles did Cody have to start with? ,"var1 = find(current marbles), var2 = find(given marbles), var3 = add(var1, var2), CALL, return(var3)"
1146,"For a potluck lunch Debby brought 10 bottles of soda. If everyone only drank 8 of the sodas, how many did she have to take back home?","var1 = find(bottles of soda), var2 = find(sodas drank), var3 = subtract(var1, var2), CALL, return(var3)"
1626,Connie saved up $39. She wants to buy a watch that costs $55. How much more money does Connie need?,"var1 = find(Connie's money), var2 = find(cost of watch), var3 = subtract(var2, var1), CALL, return(var3)"
1628,"They had 119 matchboxes wrapped in colorful shiny wrappers. If they are to distribute the matchboxes equally to the 9 houses in the first block, how many colorful matchboxes will they have left?","var1 = find(matchboxes), var2 = find(houses), var3 = divide(var1, var2), CALL, var4 = find(remainder), return(var4)"
1154,"Debby bought 355 bottles of water when they were on sale. If she drank 5 bottles a day, how many days would they last her?","var1 = find(bottles of water), var2 = find(bottles per day), var3 = divide(var1, var2), CALL, return(var3)"
1265,The perimeter of an equilateral triangle is 54 cm. Find the length of each side of triangle.,"var1 = find(perimeter), var2 = divide(var1, 3), return(var2)"
61,Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogetherHow many bags did she find on the next day?,"var1 = find(Monday bags), var2 = find(total bags), var3 = subtract(var2, var1), CALL, return(var3)"
2190,The elephant had 407 peanuts. She ate 129 of them. How many peanuts did the elephant have left?,"var1 = find(elephant had peanuts), var2 = find(peanuts eaten), var3 = subtract(var1, var2), CALL, return(var3)"
608,Jerry had 5 action figures and 9 books on a shelf in his room. Later he added 7 more action figures to the shelf.How many more action figures than books were on his shelf?,"var1 = find(action figures initially), var2 = find(books initially), var3 = find(more action figures), var4 = add(var1, var3), var5 = subtract(var4, var2), CALL, return(var5)"
381,"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday.How many more kids did she play with on monday than on wednesday?","var1 = find(Monday kids), var2 = find(Tuesday kids), var3 = find(Wednesday kids), var4 = add(var1, var2), var5 = add(var4, var3), var6 = subtract(var1, var3), CALL, return(var6)"
